name,genre,director,country,year_of_make,rating
11 сентября,"драма,исторический,киноальманах","Самира Махмальбаф,Клод Лелуш,Юсеф Шахин,Данис Танович,Идрисса Одрраого,Кен Лоуч,Алехандро Гонсалес Инарриту,Амос Гитай,Мира Наир,Шон Пенн,Сёхэй Имамура","(None,)",2002,6.9
10 шагов к успеху,комедийная драма,,"(None,)",2006,6.5
10 причин моей ненависти,романтическая комедия,Джил Джангер,"(None,)",1999,7.3
«10 000 лет до нашей эры»,приключенческий боевик,Роланд Эммерих,"(None,)",2008,5.7
10 на 10,триллер,,"(None,)",2018,5.1
9 месяцев строгого режима,комедия,Альбер Дюпонтель,"(None,)",2013,6.4
9 песен,"драма,мелодрама,музыкальный фильм,эротика","Майкл Уинтерботтом,[1],[2],[…]","(None,)",2004,4.7
10 миль в час,Документальное кино,рус.,"(None,)",2007,2.3
9 смертей ниндзя,боевик,Эмметт Олстон,"(None,)",1985,3.9
9/11,"драма,фильм-катастрофа",,"(None,)",2017,4.5
9 душ,фильм-драма,Тосиаки Тоёда,"(None,)",2003,7.2
9 мая. Личное отношение,,"Авдотья Смирнова,Александр Котт,Владимир Котт,Евгений Лаврентьев,Карен Оганесян,Максим Пежемский,Егор Кончаловский,Василий Чигинский","(None,)",,6.2
10 лет спустя,"драма,романтическая комедия",Джеми Линден,"(None,)",2011,6.9
9 мёртвых геев,"драма,комедия",,"(None,)",2002,6.2
8 подруг Оушена,"кинокомедия,криминальный фильм",Гэри Росс,США,2018,6.3
9 рота,"военно,исторический,боевик,драма",Фёдор Бондарчук,"(None,)",2005,7.1
9 апреля,,,"(None,)",2015,6.6
8-битное Рождество,комедия,Майкл Даус,"(None,)",2021,6.7
8 свиданий,Романтическая кинокомедия,,"(None,)",2008,6.0
8 женщин,"мюзикл,комедия,детектив",Франсуа Озон,"(None,)",2002,7.0
8 ½ $,комедийный фильм,Григорий Константинопольский,"(None,)",1999,7.8
8 миллиметров,"триллер,криминал",Джоэл Шумахер,США,1999,6.6
007: Спектр,шпионский фильм,Сэм Мендес,"(None,)",2015,6.8
7:35 утра,"короткометражный,музыкальный",Начо Вигалондо,Испания,,7.3
8 лучших свиданий,"комедия,мелодрама",Марюс Вайсберг,"(None,)",2016,3.9
007: Координаты «Скайфолл»,шпионский фильм,Сэм Мендес,"(None,)",,7.8
7 дней и ночей с Мэрилин,"драма,биография",рус.,"(None,)",2011,6.9
7 ящиков,"триллер,криминал","Хуан Карлос Манелья,Тана Шембори","(None,)",2012,7.1
7 секунд,боевик,Саймон Феллоуз,США,,4.8
7 дней до смерти,"драма,фильм ужасов,триллер",,"(None,)",2000,5.1
7 женщин,драма,Джон Форд,"(None,)",1966,5.4
6-й день,киберпанк,Роджер Споттисвуд,"(None,)",2000,7.7
7 главных желаний,"комедия,мелодрама",,"(None,)",,1.5
5×2,"мелодрама,драма",Франсуа Озон,"(None,)",2004,
6 дней,"боевик,триллер",Тоа Фрейзер,"(None,)",2017,6.2
5-я волна,"постапокалиптика,научная фантастика",,"(None,)",2016,5.2
5 терапия,"драма,триллер,биография",,"(None,)",2017,7.3
5 разбитых камер,документальный фильм,,"(None,)",2011,7.9
5 дней в августе,"военный,боевик",Ренни Харлин,"(None,)",2011,5.6
5 неизвестных...,триллер,,"(None,)",2006,6.4
5 недель,трагикомедия,,"(None,)",2021,4.7
4:0 в пользу Танечки,комедия,Радомир Василевский,"(None,)",1982,6.9
4.3.2.1,"триллер,электро-хаус,соул,R’n’B,хип-хоп,грайм",Ноэль Кларк,"(None,)",2010,5.8
4 маленькие девочки,,Спайк Ли,"(None,)",1997,7.8
4 x 4,,,"(None,)",1965,6.8
4:44. Последний день на Земле,"драма,фантастика",Абель Феррара,"(None,)",2011,4.6
4 дня в мае,"военная,драма,боевик",Ахим фон Боррис,"(None,)",2011,6.4
4 листа фанеры,детектив,"Иван Гаврилюк,Сайдо Курбанов","(None,)",1992,5.1
"4 месяца, 3 недели и 2 дня",драма,Кристиан Мунджиу,"(None,)",2007,7.9
3: История Дейла Эрнхардта,"биографическая,спортивная,драма",Рассел Малкэхи,США,,6.7
Четыре,драма,Илья Хржановский,"(None,)",2004,6.7
3 ночи в пустыне,драма,Гэбриэль Коуэн,"(None,)",2014,4.6
(Не)идеальные роботы,"комедия,фантастика,мелодрамма","Энтони Хайнс,Каспер Кристенсен","(None,)",2023,5.5
3 идиота,"комедия,драма",Раджкумар Хирани,Индия,2009,4.4
2pac: Легенда,"байопик,драма,боевик",,"(None,)",2017,5.9
«SOS» над тайгой,"драма,приключения",Аркадий Кольцатый,"(None,)",,4.9
0-41*,"документальный,драма,комедия",Сенна Хегде,"(None,)",2016,8.9
...а пятый всадник – Страх,,Збынек Брыных,"(None,)",1965,6.7
40 дней и 40 ночей,кинокомедия,Майкл Леманн,"(None,)",2002,5.6
